college code,Manditory Branch name,Manditory Sem,Total eligible students,Pending allocations for eligible students
1127,B.E Aeronautical Engineering,5,5,4
1127,B.E Aeronautical Engineering,7,17,14
1127,B.E Mechanical Engineering,5,17,14
1127,B.E Mechanical Engineering,7,22,19
1127,B.E Civil Engineering,5,7,3
1127,B.E Civil Engineering,5,7,4
1127,B.E Civil Engineering,7,7,3
1127,B.E Civil Engineering,7,7,4
1127,B.E Computer Science and Engineering,5,36,27
1127,B.Tech Information Technology,5,14,10
1127,B.E Electronics and Communication Engineering,5,10,7
1127,B.E Computer Science and Engineering,5,36,26
1127,B.E Electronics and Communication Engineering,5,10,7
1127,B.Tech Information Technology,5,14,10
1127,B.E Computer Science and Engineering,5,36,31
1127,B.Tech Information Technology,5,14,13
1127,B.E Aeronautical Engineering,5,5,3
1127,B.E Aeronautical Engineering,7,17,9
1127,B.E Electrical and Electronics Engineering,5,11,7
1127,B.E Electrical and Electronics Engineering,7,7,6
1127,B.E Mechanical Engineering,5,17,9
1127,B.E Mechanical Engineering,7,22,11
1127,B.Tech Chemical Engineering,5,8,0
1127,B.Tech Chemical Engineering,7,20,0
1127,B.Tech Biotechnology,5,22,0
1127,B.Tech Biotechnology,7,23,0
1127,B.E Biomedical Engineering,5,0,0
1127,B.Tech Artificial Intelligence and Data Science,7,0,0
1127,B.E Medical Electronics Engineering,7,0,0
1127,B.E Medical Electronics Engineering,5,0,0
1127,B.E Biomedical Engineering,7,0,0
1127,B.E Electronics and Communication Engineering,5,10,10
1128,B.E Electrical and Electronics Engineering,7,8,6
1128,B.E Mechanical Engineering,7,25,21
1128,B.E Electrical and Electronics Engineering,5,22,20
1128,B.E Electronics and Communication Engineering,5,21,19
1128,B.E Mechanical Engineering,5,30,26
1128,B.E Computer Science and Engineering,5,35,32
1128,B.E Electrical and Electronics Engineering,5,22,20
1128,B.E Electronics and Communication Engineering,5,21,19
1128,B.E Computer Science and Engineering,5,35,26
1128,B.E Electronics and Communication Engineering,5,21,16
1128,B.E Mechanical Engineering,5,30,22
1128,B.E Mechanical Engineering,7,25,20
1128,B.E Electrical and Electronics Engineering,5,22,16
1128,B.E Electrical and Electronics Engineering,7,8,6
1128,B.E Electrical and Electronics Engineering,5,22,18
1128,B.E Electrical and Electronics Engineering,7,8,6
1128,B.E Mechanical Engineering,5,30,25
1128,B.E Mechanical Engineering,7,25,21
1128,B.E Civil Engineering,5,11,5
1128,B.E Civil Engineering,5,11,6
1128,B.E Computer Science and Engineering,5,35,26
1128,B.E Electronics and Communication Engineering,5,21,15
1128,B.E Computer Science and Engineering,5,35,26
1128,B.E Electronics and Communication Engineering,5,21,15
1128,B.E Computer Science and Engineering,5,35,30
1128,B.E Electrical and Electronics Engineering,5,22,14
1128,B.E Electrical and Electronics Engineering,7,8,6
1128,B.E Mechanical Engineering,5,30,17
1128,B.E Mechanical Engineering,7,25,13
1128,B.E Biomedical Engineering,5,0,0
1128,B.Tech Artificial Intelligence and Data Science,7,0,0
1128,B.E Medical Electronics Engineering,7,0,0
1128,B.E Medical Electronics Engineering,5,0,0
1128,B.E Biomedical Engineering,7,0,0
1128,B.E Electronics and Communication Engineering,5,21,21
1133,B.E Electrical and Electronics Engineering,7,14,11
1133,B.E Mechanical Engineering,7,20,16
1133,B.E Electrical and Electronics Engineering,5,8,7
1133,B.E Electronics and Communication Engineering,5,50,45
1133,B.E Mechanical Engineering,5,24,21
1133,B.E Mechatronics Engineering,5,14,12
1133,B.E Computer Science and Engineering,5,105,97
1133,B.E Electrical and Electronics Engineering,5,8,7
1133,B.E Electronics and Communication Engineering,5,50,45
1133,B.Tech Information Technology,5,46,42
1133,B.Tech Artificial Intelligence and Data Science,5,49,45
1133,B.E Computer Science and Engineering,5,105,78
1133,B.E Electronics and Communication Engineering,5,50,38
1133,B.Tech Information Technology,5,46,34
1133,B.Tech Artificial Intelligence and Data Science,5,49,37
1133,B.E Mechanical Engineering,5,24,18
1133,B.E Mechanical Engineering,7,20,16
1133,B.E Mechatronics Engineering,5,14,10
1133,B.E Electrical and Electronics Engineering,5,8,6
1133,B.E Electrical and Electronics Engineering,7,14,10
1133,B.E Electrical and Electronics Engineering,5,8,6
1133,B.E Electrical and Electronics Engineering,7,14,10
1133,B.E Mechanical Engineering,5,24,20
1133,B.E Mechanical Engineering,7,20,17
1133,B.E Mechatronics Engineering,5,14,12
1133,B.E Computer Science and Engineering,5,105,78
1133,B.Tech Information Technology,5,46,34
1133,B.Tech Artificial Intelligence and Data Science,5,49,37
1133,B.E Electronics and Communication Engineering,5,50,37
1133,B.E Computer Science and Engineering,5,105,76
1133,B.E Electronics and Communication Engineering,5,50,35
1133,B.Tech Information Technology,5,46,34
1133,B.Tech Artificial Intelligence and Data Science,5,49,36
1133,B.E Computer Science and Engineering,5,105,91
1133,B.Tech Information Technology,5,46,40
1133,B.Tech Artificial Intelligence and Data Science,5,49,41
1133,B.E Electrical and Electronics Engineering,5,8,6
1133,B.E Electrical and Electronics Engineering,7,14,11
1133,B.E Mechanical Engineering,5,24,13
1133,B.E Mechanical Engineering,7,20,11
1133,B.E Mechatronics Engineering,5,14,8
1133,B.E Biomedical Engineering,5,0,0
1133,B.Tech Artificial Intelligence and Data Science,7,0,0
1133,B.E Medical Electronics Engineering,7,0,0
1133,B.E Medical Electronics Engineering,5,0,0
1133,B.E Biomedical Engineering,7,0,0
1133,B.E Electronics and Communication Engineering,5,50,50
2101,B.E Mechanical Engineering,7,3,2
2101,B.E Electronics and Communication Engineering,5,7,6
2101,B.E Mechanical Engineering,5,6,5
2101,B.E Biomedical Engineering,5,15,14
2101,B.E Computer Science and Engineering,5,17,16
2101,B.E Electronics and Communication Engineering,5,7,6
2101,B.E Biomedical Engineering,5,15,13
2101,B.E Computer Science and Engineering,5,17,13
2101,B.E Electronics and Communication Engineering,5,7,6
2101,B.E Biomedical Engineering,5,15,12
2101,B.Tech Information Technology,5,6,4
2101,B.E Mechanical Engineering,5,6,4
2101,B.E Mechanical Engineering,7,3,2
2101,B.E Mechanical Engineering,5,6,5
2101,B.E Computer Science and Engineering,5,17,13
2101,B.Tech Information Technology,5,6,4
2101,B.E Electronics and Communication Engineering,5,7,5
2101,B.E Biomedical Engineering,5,15,11
2101,B.E Computer Science and Engineering,5,17,12
2101,B.E Electronics and Communication Engineering,5,7,5
2101,B.E Biomedical Engineering,5,15,10
2101,B.Tech Information Technology,5,6,4
2101,B.E Computer Science and Engineering,5,17,14
2101,B.E Mechanical Engineering,5,6,4
2101,B.E Mechanical Engineering,7,3,2
2101,B.E Biomedical Engineering,5,15,15
2101,B.Tech Artificial Intelligence and Data Science,7,0,0
2101,B.E Medical Electronics Engineering,7,0,0
2101,B.E Medical Electronics Engineering,5,0,0
2101,B.E Biomedical Engineering,7,36,0
2101,B.E Electronics and Communication Engineering,5,7,7
2102,B.E Aeronautical Engineering,7,22,18
2102,B.E Mechanical Engineering,7,24,20
2102,B.E Aeronautical Engineering,5,9,8
2102,B.E Electronics and Communication Engineering,5,8,7
2102,B.E Computer Science and Engineering,5,35,32
2102,B.E Electronics and Communication Engineering,5,8,7
2102,B.E Computer Science and Engineering,5,35,26
2102,B.E Electronics and Communication Engineering,5,8,6
2102,B.E Aeronautical Engineering,5,9,7
2102,B.E Aeronautical Engineering,7,22,18
2102,B.E Mechanical Engineering,5,3,2
2102,B.E Mechanical Engineering,7,24,19
2102,B.E Electrical and Electronics Engineering,5,4,3
2102,B.E Electrical and Electronics Engineering,5,4,3
2102,B.E Aeronautical Engineering,5,9,8
2102,B.E Aeronautical Engineering,7,22,19
2102,B.E Mechanical Engineering,7,24,20
2102,B.E Computer Science and Engineering,5,35,26
2102,B.E Electronics and Communication Engineering,5,8,6
2102,B.E Computer Science and Engineering,5,35,26
2102,B.E Electronics and Communication Engineering,5,8,6
2102,B.E Computer Science and Engineering,5,35,30
2102,B.E Aeronautical Engineering,5,9,4
2102,B.E Aeronautical Engineering,7,22,11
2102,B.E Electrical and Electronics Engineering,5,4,2
2102,B.E Mechanical Engineering,5,3,1
2102,B.E Mechanical Engineering,7,24,13
2102,B.E Biomedical Engineering,5,0,0
2102,B.Tech Artificial Intelligence and Data Science,7,0,0
2102,B.E Medical Electronics Engineering,7,0,0
