college_code,college_name,branch_id,branch_name,students_count,verified_students_count,logged_in_students_count
8100,"University College of Engineering, BIT Campus, Trichy",131,B.Tech. Petrochemical Technology,169,169,0
9112,MAHATH AMMA INSTITUTE OF ENGINEERING AND TECHNOLOGY,61,B.E. Computer Science and Engineering,110,110,0
9112,MAHATH AMMA INSTITUTE OF ENGINEERING AND TECHNOLOGY,65,B.E. Electrical and Electronics Engineering,93,93,0
9112,MAHATH AMMA INSTITUTE OF ENGINEERING AND TECHNOLOGY,81,B.E Electronics and Communication Engineering,43,43,0
9112,MAHATH AMMA INSTITUTE OF ENGINEERING AND TECHNOLOGY,83,B.E Mechanical Engineering,107,107,0
9112,MAHATH AMMA INSTITUTE OF ENGINEERING AND TECHNOLOGY,84,B.E Civil Engineering,77,77,0
9632,"PET ENGINEERING COLLEGE, VALLIOOR",61,B.E. Computer Science and Engineering,184,184,5
9632,"PET ENGINEERING COLLEGE, VALLIOOR",65,B.E. Electrical and Electronics Engineering,59,59,0
9632,"PET ENGINEERING COLLEGE, VALLIOOR",81,B.E Electronics and Communication Engineering,112,112,6
9632,"PET ENGINEERING COLLEGE, VALLIOOR",83,B.E Mechanical Engineering,120,120,0
9632,"PET ENGINEERING COLLEGE, VALLIOOR",84,B.E Civil Engineering,32,32,0
8144,"Sudharsan Engineering College,Pudukkottai",61,B.E. Computer Science and Engineering,94,94,0
8144,"Sudharsan Engineering College,Pudukkottai",65,B.E. Electrical and Electronics Engineering,27,27,0
8144,"Sudharsan Engineering College,Pudukkottai",81,B.E Electronics and Communication Engineering,30,30,0
8144,"Sudharsan Engineering College,Pudukkottai",83,B.E Mechanical Engineering,35,35,0
8144,"Sudharsan Engineering College,Pudukkottai",84,B.E Civil Engineering,24,24,0
8144,"Sudharsan Engineering College,Pudukkottai",86,B.Tech. Artificial Intelligence and Data Science,49,49,0
4201,A K T MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY,61,B.E. Computer Science and Engineering,167,167,0
4201,A K T MEMORIAL COLLEGE OF ENGINEERING AND TECHNOLOGY,65,B.E. Electrical and Electronics Engineering,140,140,0
