id,college code,college code,college type
1623,769,ST. MICHEAL POLYTECHNIC COLLEGE,POLYTECHNIC
1621,767,DON BOSCO POLYTECHNIC COLLEGE,POLYTECHNIC
1617,763,THIRUVALLUVAR POLYTECHNIC COLLEGE,POLYTECHNIC
1624,772,PET POLYTECHNIC COLLEGE,POLYTECHNIC
1625,774,UDAYA INSTITUTE OF TECHNOLOGY,POLYTECHNIC
1598,742,CHOLAN INSTITUTE OF TECHNOLOGY,POLYTECHNIC
1635,785,GURU RAAGAVINDRA POLYTECHNIC COLLEGE,POLYTECHNIC
1628,777,VICKRAM POLYTECHNIC COLLEGE,POLYTECHNIC
1638,789,K.K.S. MANI POLYTECHNIC COLLEGE,POLYTECHNIC
1627,776,SRI RAMAKRISHNA POLYTECHNIC COLLEGE,POLYTECHNIC
1630,780,S.VEERASAMY CHETTIAR POLYTECHNIC COLLEGE,POLYTECHNIC
1631,781,C.M. ANNAMALAI POLYTECNIC COLLEGE,POLYTECHNIC
1650,804,SRI SANTHOSHI POLYTECHNIC COLLEGE,POLYTECHNIC
1654,809,SRI SAKTHI POLYTECHNIC COLLEGE,POLYTECHNIC
1634,784,S.V.S POLYTECHNIC COLLEGE,POLYTECHNIC
1653,808,THIRUMALAI-MADHANUR POLYTECHNIC COLLEGE,POLYTECHNIC
1637,788,MIT POLYTECHNIC COLLEGE,POLYTECHNIC
1633,783,SRI KARPAGA POLYTECHNIC COLLEGE,POLYTECHNIC
1641,794,VIGNESHWARA POLYTECHNIC COLLEGE,POLYTECHNIC
1642,795,ST.MARIAM POLYTECHNIC COLLEGE,POLYTECHNIC
1643,796,SREE KUMARAGURU POLYTECHNIC COLLEGE,POLYTECHNIC
1644,797,SRI PADMAM POLYTECHNIC COLLEGE,POLYTECHNIC
1636,786,MARUTAM NELLI POLYTECHNIC COLLEGE,POLYTECHNIC
1646,799,SRI VIGNESH POLYTECHNIC COLLEGE,POLYTECHNIC
1647,801,SRI RAMANA INSTITUTE OF POLYTECHNIC COLLEGE,POLYTECHNIC
1632,782,S S K POLYTECHNIC COLLEGE,POLYTECHNIC
1645,798,SRI VINAYAGA POLYTECHNIC COLLEGE,POLYTECHNIC
1649,803,AISHWARYA POLYTECHNIC COLLEGE,POLYTECHNIC
1640,791,SRI S.RAMASAMY NAIDU MEMORIAL POLYTECHNIC COLLEGE,POLYTECHNIC
1652,806,VETHATHIRI MAHARISHI INSTITUTE OF TECHNOLOGY,POLYTECHNIC
