id,branch,student count,verified student count,unverified student count
7065,Computer Science and Technology,0,0,0
7066,B.Tech. Food Technology,0,0,0
7067,TEXTILE TECHNOLOGY,0,0,0
7068,B.Tech. Artificial Intelligence & Machine Learning,0,0,0
7069,B.Tech. Food Technology,12,12,0
7070,B.Tech. Artificial Intelligence & Machine Learning,0,0,0
7071,Computer Science and Design,0,0,0
7074,B.Tech. Computer Science and Business Systems,53,53,0
7075,B.Tech. Artificial Intelligence & Machine Learning,0,0,0
7078,EIE,1,1,0
8000,BE/BME,16,16,0
8002,EIE,69,0,69
79,B.E Biomedical Engineering,3305,1448,1857
80,B.E Computer Science and Engineering,23139,12113,11026
81,B.E Electronics and Communication Engineering,21007,10234,10773
82,B.E Electrical and Electronics Engineering,10795,5547,5248
83,B.E Mechanical Engineering,16126,8857,7269
84,B.E Civil Engineering,6825,3548,3277
85,B.E Computer Science and Business Systems,748,225,523
86,B.Tech. Artificial Intelligence and Data Science,3742,1903,1839
87,B.E Robotics and Automation Engineering,594,257,337
88,B.E Agriculture Engineering,1232,508,724
89,B.E Chemical Engineering,966,221,745
90,B.Tech. Artificial Intelligence and Machine Learning,544,234,310
91,B.E Electronics and Instrumenataion Engineering,1617,999,618
92,#N/A,888,339,549
93,B.E Automobile Engineering,1736,679,1057
94,ME-ED,5,0,5
95,MBA,121,2,119
96,B.E Computer Science and Engineering (CyberSecurity),440,132,308
97,MDE,56,19,37
98,B.E Mechatronics Engineering,1953,1205,748
99,B.Tech. Biotechnology,1338,361,977
100,B.E Aeronautical Engineering,1231,722,509
101,B.Tech. Fashion Technology,598,200,398
102,B.E Information Science and Engineering,318,0,318
103,B.Tech. Textile Technology,695,95,600
104,B.Tech. Pharmaceutical Technology,249,210,39
105,B.Tech. Agriculture Engineering,391,218,173
106,B.E Nanoscience and Technology,27,1,26
107,B.E Computer Science and Design,266,206,60
108,B.E Instrumentation and Control Engineering,394,213,181
109,B.E Power System Engineering,30,30,0
110,B.E Computer Science and Technology,111,111,0
111,B.E Structural Engineering,21,21,0
112,B.Tech Computer Science and Technology,58,58,0
113,B.E Computer Science and Engineering (IOT & CS including BCT),119,119,0
