college_id,college_code,college_name
1475,503,S A POLYTECHNIC COLLEGE
1488,517,KRISHNASAMY MEMORIAL POLYTECHNIC COLLEGE
1479,508,MARUTHI POLYTECHNIC COLLEGE
1474,502,SRI SAIRAM POLYTECHNIC COLLEGE
1477,506,KUMARAN POLYTECHNIC COLLEGE
1487,516,VENKATESWARA POLYTECHNIC COLLEGE
1483,512,SRI VENKATESWARA POLYTECHNIC COLLEGE
1496,528,SEMBODAI R V POLYTECHNIC COLLEGE
1012,9104,Fatima Michael College of engineering and technology 
1501,535,RAJADESINGH POLYTECHNIC COLLEGE
608,4115,PERI INSTITUTE OF TECHNOLOGY
599,4106,Dhaanish Ahmed College of Engineering 
871,7240,"DHAANISH AHMED INSTITUTE OF TECHNOLOGY,COIMBATORE"
519,1201,Jaya School of Architecture 
1489,519,SCAD GRAMODHAYA POLYTECHNIC COLLEGE
1510,547,S R I POLYTECHNIC COLLEGE
1507,544,S M ARUMUGAM POLYTECHNIC COLLEGE
1498,532,SRI KRISHNA POLYTECHNIC COLLEGE
839,7207,HINDUSTHAN COLLEGE OF ENGINEERING AND TECHNOLOGY
1492,522,MURUGESAN INSTITUTE OF TECHNOLOGY
1493,523,SRI RAGAVENDRA POLYTECHNIC COLLEGE
1494,525,K S R POLYTECHNIC COLLEGE
1092,9508,Government College of Engineering
1506,542,LAKSHMI NARAYANA POLYTECHNIC COLLEGE
1500,534,PADALESWARAR POLYTECHNIC COLLEGE
1503,539,ANNDAVAR POLYTECHNIC COLLEGE
1509,546,THE KAVERY POLYTECHNIC COLLEGE
1504,540,LITTLE FLOWER POLYTECHNIC COLLEGE
1490,520,SRI MUTHALAMMAN POLYTECHNIC COLLEGE
1499,533,PAAVAI POLYTECHNIC COLLEGE
1508,545,VIVEKANANDA POLYTECHNIC COLLEGE
1526,564,SRI ADHISANKARAR POLYTECHNIC COLLEGE
1514,551,DHANALAKSHMI SRINIVASAN POLYTECHNIC COLLEGE
1534,572,APOLLO POLYTECHNIC COLLEGE
1512,549,P G P POLYTECHNIC COLLEGE
1520,558,D P C POLYTECHNIC COLLEGE
668,5113,KINGSTON ENGINEERING COLLEGE
1515,552,BHARATH POLYTECHNIC COLLEGE
1135,9612,Loyola Institute of Technology and Science 
1537,576,P A POLYTECHNIC COLLEGE
1516,553,SRI VENKATACHALAPATHY POLYTECHNIC COLLEGE
611,4118,RRASE COLLEGE OF ENGINEERING
1518,555,MURUGA POLYTECHNIC COLLEGE
617,4124,Sri Sai Ram Institute of Technology 
1519,556,THIRUTHANI POLYTECHNIC COLLEGE
